time,branch8_seg2,branch10_seg2,branch15_seg0,branch3_seg0,branch14_seg1,branch13_seg1,branch14_seg2,branch5_seg0,branch4_seg0,branch4_seg1,branch4_seg2,branch12_seg2,branch6_seg2,branch8_seg0,branch11_seg0,branch16_seg0,branch2_seg0,branch13_seg0,branch10_seg0,branch6_seg0,branch14_seg0,branch1_seg0,branch9_seg1,branch7_seg0,branch6_seg1,branch9_seg0,branch15_seg1,branch0_seg0,branch13_seg2,branch12_seg0,branch12_seg1,branch15_seg2,branch9_seg2,branch10_seg1,branch8_seg1
0.0,-1.11022302463e-09,0.0,0.0,-1.11022302463e-09,0.0,0.0,0.0,-1.11022302463e-09,-1.11022302463e-09,-1.11022302463e-09,0.0,0.0,-1.11022302463e-09,-1.11022302463e-09,-1.11022302463e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11022302463e-09,0.0,-1.11022302463e-09,0.0,0.0,0.0,0.0,-1.11022302463e-09,0.0
10.0,127345.406116,121279.851871,124627.902787,128992.235072,127407.508645,123350.339234,127837.42592,128722.512421,129258.045105,128733.96514,128684.032734,124296.860406,125211.197518,128203.26533,107767.13729,124743.51059,128796.329554,117489.727622,120055.031269,126414.89232,128394.58423,117996.159696,125758.665995,129107.805747,125376.025417,125814.481771,125286.278269,124697.126785,123573.823991,125963.445034,125807.265572,125297.65281,123166.606416,120990.095726,127283.734717
20.0,127345.406116,121279.851871,124627.902787,128992.235072,127407.508645,123350.339234,127837.42592,128722.512421,129258.045105,128733.96514,128684.032734,124296.860406,125211.197518,128203.26533,107767.13729,124743.51059,128796.329554,117489.727622,120055.031269,126414.89232,128394.58423,117996.159696,125758.665995,129107.805747,125376.025417,125814.481771,125286.278269,124697.126785,123573.823991,125963.445034,125807.265572,125297.65281,123166.606416,120990.095726,127283.734717
30.0,127345.406116,121279.851871,124627.902787,128992.235072,127407.508645,123350.339234,127837.42592,128722.512421,129258.045105,128733.96514,128684.032734,124296.860406,125211.197518,128203.26533,107767.13729,124743.51059,128796.329554,117489.727622,120055.031269,126414.89232,128394.58423,117996.159696,125758.665995,129107.805747,125376.025417,125814.481771,125286.278269,124697.126785,123573.823991,125963.445034,125807.265572,125297.65281,123166.606416,120990.095726,127283.734717
40.0,127345.406116,121279.851871,124627.902787,128992.235072,127407.508645,123350.339234,127837.42592,128722.512421,129258.045105,128733.96514,128684.032734,124296.860406,125211.197518,128203.26533,107767.13729,124743.51059,128796.329554,117489.727622,120055.031269,126414.89232,128394.58423,117996.159696,125758.665995,129107.805747,125376.025417,125814.481771,125286.278269,124697.126785,123573.823991,125963.445034,125807.265572,125297.65281,123166.606416,120990.095726,127283.734717
50.0,127345.406116,121279.851871,124627.902787,128992.235072,127407.508645,123350.339234,127837.42592,128722.512421,129258.045105,128733.96514,128684.032734,124296.860406,125211.197518,128203.26533,107767.13729,124743.51059,128796.329554,117489.727622,120055.031269,126414.89232,128394.58423,117996.159696,125758.665995,129107.805747,125376.025417,125814.481771,125286.278269,124697.126785,123573.823991,125963.445034,125807.265572,125297.65281,123166.606416,120990.095726,127283.734717
