time,branch8_seg2,branch10_seg2,branch15_seg0,branch3_seg0,branch14_seg1,branch13_seg1,branch14_seg2,branch5_seg0,branch4_seg0,branch4_seg1,branch4_seg2,branch12_seg2,branch6_seg2,branch8_seg0,branch11_seg0,branch16_seg0,branch2_seg0,branch13_seg0,branch10_seg0,branch6_seg0,branch14_seg0,branch1_seg0,branch9_seg1,branch7_seg0,branch6_seg1,branch9_seg0,branch15_seg1,branch0_seg0,branch13_seg2,branch12_seg0,branch12_seg1,branch15_seg2,branch9_seg2,branch10_seg1,branch8_seg1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,92.4507169506,163.04863014,157.701872384,246.920154964,186.25074018,199.290850744,149.205782133,146.394276917,178.230573225,183.690520155,163.375642765,244.949337564,66.7270165487,89.7609473177,4.912928161,1005.49397302,188.894462492,166.353190146,142.968584915,47.4771034093,153.653471073,165.720961415,119.137392869,124.8162038,67.0269805854,118.610490605,192.935873432,1013.8467522,195.219556017,217.900608822,226.078318299,161.800997336,134.633249214,164.206107589,93.5869916599
20.0,92.4507169506,163.04863014,157.701872384,246.920154964,186.25074018,199.290850744,149.205782133,146.394276917,178.230573225,183.690520155,163.375642765,244.949337564,66.7270165487,89.7609473177,4.912928161,1005.49397302,188.894462492,166.353190146,142.968584915,47.4771034093,153.653471073,165.720961415,119.137392869,124.8162038,67.0269805854,118.610490605,192.935873432,1013.8467522,195.219556017,217.900608822,226.078318299,161.800997336,134.633249214,164.206107589,93.5869916599
30.0,92.4507169506,163.04863014,157.701872384,246.920154964,186.25074018,199.290850744,149.205782133,146.394276917,178.230573225,183.690520155,163.375642765,244.949337564,66.7270165487,89.7609473177,4.912928161,1005.49397302,188.894462492,166.353190146,142.968584915,47.4771034093,153.653471073,165.720961415,119.137392869,124.8162038,67.0269805854,118.610490605,192.935873432,1013.8467522,195.219556017,217.900608822,226.078318299,161.800997336,134.633249214,164.206107589,93.5869916599
40.0,92.4507169506,163.04863014,157.701872384,246.920154964,186.25074018,199.290850744,149.205782133,146.394276917,178.230573225,183.690520155,163.375642765,244.949337564,66.7270165487,89.7609473177,4.912928161,1005.49397302,188.894462492,166.353190146,142.968584915,47.4771034093,153.653471073,165.720961415,119.137392869,124.8162038,67.0269805854,118.610490605,192.935873432,1013.8467522,195.219556017,217.900608822,226.078318299,161.800997336,134.633249214,164.206107589,93.5869916599
50.0,92.4507169506,163.04863014,157.701872384,246.920154964,186.25074018,199.290850744,149.205782133,146.394276917,178.230573225,183.690520155,163.375642765,244.949337564,66.7270165487,89.7609473177,4.912928161,1005.49397302,188.894462492,166.353190146,142.968584915,47.4771034093,153.653471073,165.720961415,119.137392869,124.8162038,67.0269805854,118.610490605,192.935873432,1013.8467522,195.219556017,217.900608822,226.078318299,161.800997336,134.633249214,164.206107589,93.5869916599
